train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate
0.2,0.1,1729,0.1,100,65.30799579065553,95.7950557295454,0.03,0.08
0.2,0.15,1729,0.15,100,58.179379928345924,125.00427265486533,0.02,0.07
0.2,0.2,1729,0.2,100,23.13942747708682,138.51506841844417,0.02,0.13
0.2,0.25,1729,0.25,100,29.09179072724685,118.47880570361676,0.02,0.11
0.2,0.0,6174,0.0,100,0.07247644532805068,50.94595765149157,0.0,0.0
0.2,0.05,6174,0.05,100,-2.349278996334508,51.769433807112165,0.0,0.01
0.2,0.1,6174,0.1,100,3.833341124293629,68.21114995683853,0.01,0.02
0.2,0.15,6174,0.15,100,-16.71861956265308,96.13625189651391,0.03,0.05
0.2,0.2,6174,0.2,100,-20.826623463525447,124.35320271240096,0.02,0.06
0.2,0.25,6174,0.25,100,-44.85154350872424,152.90872558087415,0.04,0.1
0.2,0.0,196,0.0,100,21.25300449699674,149.35783049035442,0.19,0.4
0.2,0.05,196,0.05,100,-4.49962952388226,140.54586532723306,0.17,0.46
0.2,0.1,196,0.1,100,4.708674624487197,152.67718953700825,0.17,0.43
0.2,0.15,196,0.15,100,19.693360336129135,166.02733259499956,0.2,0.37
0.2,0.2,196,0.2,100,-0.25722089775152385,149.6570477792176,0.15,0.44
0.2,0.25,196,0.25,100,-15.698675026870287,155.10927296324078,0.12,0.44
0.25,0.0,0,0.0,100,93.45855989185289,109.51574976775096,0.15,0.07
0.25,0.05,0,0.05,100,74.1553538330823,117.10462437588639,0.14,0.1
0.25,0.1,0,0.1,100,93.07775569152311,127.60081893679106,0.16,0.12
0.25,0.15,0,0.15,100,66.20394456766672,150.53069189704743,0.15,0.15
0.25,0.2,0,0.2,100,79.60245467105527,134.21710499392873,0.13,0.09
0.25,0.25,0,0.25,100,42.416402436365836,146.55159388156653,0.18,0.17
0.25,0.0,42,0.0,100,143.03709389086777,72.10972469433085,0.25,0.0
0.25,0.05,42,0.05,100,138.10469330159137,94.0740926765618,0.24,0.02
0.25,0.1,42,0.1,100,121.98583123695371,113.63423291212628,0.22,0.08
0.25,0.15,42,0.15,100,120.97971446231058,95.55416069915567,0.19,0.02
0.25,0.2,42,0.2,100,112.89090727390563,127.71706781902701,0.27,0.07
0.25,0.25,42,0.25,100,97.87096223005125,129.09719111499138,0.19,0.1
0.25,0.0,1729,0.0,100,42.78477752922501,70.79164982306634,0.0,0.0
0.25,0.05,1729,0.05,100,24.147524326838358,86.37600091866328,0.0,0.04
0.25,0.1,1729,0.1,100,34.03034141148218,94.08439753308556,0.0,0.05
0.25,0.15,1729,0.15,100,18.59996990544936,97.27247406857472,0.0,0.09
0.25,0.2,1729,0.2,100,-0.6021621039961191,119.57477804142022,0.0,0.12
0.25,0.25,1729,0.25,100,16.239538963077777,121.86172740721604,0.0,0.1
0.25,0.0,6174,0.0,100,94.07906722692196,143.4309501581069,0.37,0.19
0.25,0.05,6174,0.05,100,80.71411433179216,148.34743500801656,0.34,0.2
0.25,0.1,6174,0.1,100,82.65713310416977,152.03430035670365,0.34,0.2
0.25,0.15,6174,0.15,100,38.260195806745784,171.78891789657223,0.24,0.32
0.25,0.2,6174,0.2,100,56.8732399723559,169.89918378339155,0.32,0.29
0.25,0.25,6174,0.25,100,21.47839124756477,169.79655646791207,0.26,0.32
0.25,0.0,196,0.0,100,110.86445024925187,92.24260867375345,0.11,0.0
0.25,0.05,196,0.05,100,121.00021963526545,99.14843266950936,0.21,0.03
0.25,0.1,196,0.1,100,106.78772834898811,105.60170221078288,0.12,0.05
0.25,0.15,196,0.15,100,94.7177847506504,120.07963498451788,0.12,0.05
0.25,0.2,196,0.2,100,85.65951577235344,124.64718376129261,0.12,0.07
0.25,0.25,196,0.25,100,46.92077734690435,161.51679721131336,0.1,0.14
