train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate
0.2,0.15,196,0.15,100,245.8861852664053,41.58697830945064,0.93,0.0
0.2,0.2,196,0.2,100,244.67105053295256,51.42158925493116,0.92,0.0
0.2,0.25,196,0.25,100,231.14660574041315,62.29506633229612,0.83,0.0
0.25,0.0,0,0.0,100,233.52376268325173,45.991767765806856,0.92,0.0
0.25,0.05,0,0.05,100,224.36999905735757,57.13522450155744,0.86,0.0
0.25,0.1,0,0.1,100,221.16112455631722,60.03246766951445,0.85,0.0
0.25,0.15,0,0.15,100,223.12872153089882,63.155283505512934,0.86,0.0
0.25,0.2,0,0.2,100,221.45313229341096,64.54878986693726,0.83,0.0
0.25,0.25,0,0.25,100,200.29632934238415,81.82342449378875,0.73,0.0
0.25,0.0,42,0.0,100,259.85226774550796,31.602623203208097,0.95,0.0
0.25,0.05,42,0.05,100,248.86382959928912,46.45858473874806,0.91,0.0
0.25,0.1,42,0.1,100,248.6841795196832,51.73503810660108,0.92,0.0
0.25,0.15,42,0.15,100,245.37113449135234,59.619650546833626,0.87,0.0
0.25,0.2,42,0.2,100,243.84454771042604,62.71174257968907,0.88,0.0
0.25,0.25,42,0.25,100,237.79069714063,67.81382226435443,0.82,0.0
0.25,0.0,1729,0.0,100,229.89744334611888,42.89057298220615,0.86,0.0
0.25,0.05,1729,0.05,100,217.007828024539,57.69392013141899,0.81,0.0
0.25,0.1,1729,0.1,100,220.83872041149064,53.041381420474714,0.83,0.0
0.25,0.15,1729,0.15,100,208.453335990067,61.553822030533425,0.78,0.0
0.25,0.2,1729,0.2,100,225.8733622258217,46.18005861949557,0.86,0.0
0.25,0.25,1729,0.25,100,220.15747300735245,60.641164449171825,0.84,0.0
0.25,0.0,6174,0.0,100,182.39854691724287,93.70511781695313,0.68,0.0
0.25,0.05,6174,0.05,100,180.39854691724287,94.66363242532827,0.67,0.0
0.25,0.1,6174,0.1,100,198.92607130535742,85.46842544949922,0.77,0.0
0.25,0.15,6174,0.15,100,201.68507529497165,78.53814431574467,0.76,0.0
0.25,0.2,6174,0.2,100,182.11840883201606,92.76970757565542,0.67,0.0
0.25,0.25,6174,0.25,100,165.23447606827395,105.96320355903525,0.64,0.0
0.25,0.0,196,0.0,100,249.43612332080554,40.516298547265194,0.9,0.0
0.25,0.05,196,0.05,100,252.1112420940507,39.51303203858191,0.93,0.0
0.25,0.1,196,0.1,100,247.3214735916219,55.962488654749386,0.92,0.01
0.25,0.15,196,0.15,100,252.70456701931704,33.203883356026935,0.94,0.0
0.25,0.2,196,0.2,100,245.70716953401458,43.88306446172796,0.86,0.0
0.25,0.25,196,0.25,100,247.62825914100776,47.70417093300059,0.9,0.0
